"Story","Title","Result","Date","Stability","Duration (s)"
"HU01 - autenticacion","cinco - Login orientado al fallo","FAILURE","2021-12-03T13:44:50.2612632-05:00[America/Bogota]","0.0","32.98"
"HU01 - autenticacion","seis - Cierre de sesion","FAILURE","2021-12-03T13:45:24.383363-05:00[America/Bogota]","0.0","26.75"
"Listar los training activos","Visualizar los training activos con el rol de coach autenticado","FAILURE","2021-12-03T13:46:09.4368827-05:00[America/Bogota]","0.0","19.03"
"Listar los training activos","Visualizar un training especifico dentro de la lista","FAILURE","2021-12-03T13:46:29.433443-05:00[America/Bogota]","0.0","19.56"
"Listar los training activos","Visualizar los training activos con ruta alternativa en el rol de coach autenticado","FAILURE","2021-12-03T13:46:49.9158851-05:00[America/Bogota]","0.0","19.48"
"HU03 - Listar aprendices de un training activo","uno - Listar estudiantes rol coach","FAILURE","2021-12-03T13:47:10.3785385-05:00[America/Bogota]","0.0","46.8"
"Yo como usuario","Editar exitosamente nuevo curso","FAILURE","2021-12-03T13:49:49.2548714-05:00[America/Bogota]","0.0","24.89"
"Yo como usuario","Eliminar exitosamente un curso","FAILURE","2021-12-03T13:50:14.3261172-05:00[America/Bogota]","0.0","25.79"
"Historia de Usuario 06 CA001","Verificar la creación del programa suministrando los datos obligatorios","FAILURE","2021-12-03T13:50:41.0927171-05:00[America/Bogota]","0.0","17.97"
"Historia de Usuario 06 CA001","Verificar el fallo al momento de no suministrar ninguna información en los campos obligatorios","FAILURE","2021-12-03T13:50:59.9800506-05:00[America/Bogota]","0.0","18.25"
"Historia de Usuario 06 CA001","Verificar el fallo al momento de no ingresar nombre del programa","FAILURE","2021-12-03T13:51:19.1726336-05:00[America/Bogota]","0.0","18.45"
"Historia de Usuario 06 CA001","Verificar el fallo al momento de no ingresar ningún curso al programa","FAILURE","2021-12-03T13:51:38.5702902-05:00[America/Bogota]","0.0","18.36"
"Historia de Usuario 06 CA003","Verificacion de correcta eliminacion de un programa","FAILURE","2021-12-03T13:51:57.9785746-05:00[America/Bogota]","0.0","21.63"
"Historia de Usuario 06 CA003","Verificacion de correcta edicion de nombre de programa","FAILURE","2021-12-03T13:52:20.5357853-05:00[America/Bogota]","0.0","18.44"
"Historia de Usuario 06 CA003","Verificacion de Error con falta de nombre de programa","FAILURE","2021-12-03T13:52:40.0440369-05:00[America/Bogota]","0.0","18.46"
"Historia de Usuario 06 CA003","Correcta asignacion de cursos","FAILURE","2021-12-03T13:52:59.4179363-05:00[America/Bogota]","0.0","18.85"
"Historia de Usuario 06 CA004","verificar la existencia y el funcionamiento de la opción de listar un programa","FAILURE","2021-12-03T13:53:19.2002489-05:00[America/Bogota]","0.0","18.22"
"HU07","Crear un training en sofkau","FAILURE","2021-12-03T13:53:38.3634222-05:00[America/Bogota]","0.0","24.18"
